2020-07-16 15:15:53 startup archives unpack
2020-07-16 15:15:53 install sensible-utils:all <none> 0.0.12
2020-07-16 15:15:53 status half-installed sensible-utils:all 0.0.12
2020-07-16 15:15:53 status unpacked sensible-utils:all 0.0.12
2020-07-16 15:15:53 install lsb-base:all <none> 10.2019051400
2020-07-16 15:15:53 status half-installed lsb-base:all 10.2019051400
2020-07-16 15:15:53 status unpacked lsb-base:all 10.2019051400
2020-07-16 15:15:53 install cron:amd64 <none> 3.0pl1-134+deb10u1
2020-07-16 15:15:53 status half-installed cron:amd64 3.0pl1-134+deb10u1
2020-07-16 15:15:53 status unpacked cron:amd64 3.0pl1-134+deb10u1
2020-07-16 15:15:53 install libapparmor1:amd64 <none> 2.13.2-10
2020-07-16 15:15:53 status triggers-pending libc-bin:amd64 2.28-10
2020-07-16 15:15:53 status half-installed libapparmor1:amd64 2.13.2-10
2020-07-16 15:15:53 status unpacked libapparmor1:amd64 2.13.2-10
2020-07-16 15:15:53 install libcap2:amd64 <none> 1:2.25-2
2020-07-16 15:15:53 status half-installed libcap2:amd64 1:2.25-2
2020-07-16 15:15:53 status unpacked libcap2:amd64 1:2.25-2
2020-07-16 15:15:53 install libargon2-1:amd64 <none> 0~20171227-0.2
2020-07-16 15:15:53 status half-installed libargon2-1:amd64 0~20171227-0.2
2020-07-16 15:15:53 status unpacked libargon2-1:amd64 0~20171227-0.2
2020-07-16 15:15:53 install dmsetup:amd64 <none> 2:1.02.155-3
2020-07-16 15:15:53 status half-installed dmsetup:amd64 2:1.02.155-3
2020-07-16 15:15:53 status unpacked dmsetup:amd64 2:1.02.155-3
2020-07-16 15:15:53 install libdevmapper1.02.1:amd64 <none> 2:1.02.155-3
2020-07-16 15:15:53 status half-installed libdevmapper1.02.1:amd64 2:1.02.155-3
2020-07-16 15:15:53 status unpacked libdevmapper1.02.1:amd64 2:1.02.155-3
2020-07-16 15:15:53 install libjson-c3:amd64 <none> 0.12.1+ds-2
2020-07-16 15:15:53 status half-installed libjson-c3:amd64 0.12.1+ds-2
2020-07-16 15:15:53 status unpacked libjson-c3:amd64 0.12.1+ds-2
2020-07-16 15:15:53 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u3
2020-07-16 15:15:53 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-07-16 15:15:53 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-07-16 15:15:53 install libcryptsetup12:amd64 <none> 2:2.1.0-5+deb10u2
2020-07-16 15:15:53 status half-installed libcryptsetup12:amd64 2:2.1.0-5+deb10u2
2020-07-16 15:15:53 status unpacked libcryptsetup12:amd64 2:2.1.0-5+deb10u2
